,movie_title,num_user_for_reviews,plot_keywords,genres,time,title_year,imdb_score,aspect_ratio,num_critic_for_reviews,movie_link
0,Avengers: Endgame,9300,time travel,Action,181,2019,8.4,,583,http://www.imdb.com/title/tt4154796/
1,Avengers: Infinity War,4400,death of recurring character,Action,149,2018,8.4,,624,http://www.imdb.com/title/tt4154756/
2,Star Wars: Episode IX - The Rise of Skywalker,7900,evil,Action,141,2019,6.5,2.39,518,http://www.imdb.com/title/tt2527338/
3,Black Panther,3400,marvel cinematic universe,Action,134,2018,7.3,2.39,505,http://www.imdb.com/title/tt1825683/
4,Incredibles 2,1100,,Animation,118,2018,7.6,2.39,405,http://www.imdb.com/title/tt3606756/
5,Black Widow,2900,superheroine,Action,134,2021,6.7,2.39,364,http://www.imdb.com/title/tt3480822/
6,Fantastic Beasts: The Crimes of Grindelwald,1500,wizard,Adventure,134,2018,6.5,2.39,350,http://www.imdb.com/title/tt4123430/
7,Onward,762,,Animation,102,2020,7.4,2.39,326,http://www.imdb.com/title/tt7146812/
8,Mulan,2900,,Action,115,2020,5.7,2.39,255,http://www.imdb.com/title/tt4566758/
9,The Suicide Squad,3200,,Action,132,2021,7.3,1.9,353,http://www.imdb.com/title/tt6334354/
10,Avengers: Endgame,9300,time travel,Action,181,2019,8.4,,583,http://www.imdb.com/title/tt4154796/
11,Avengers: Infinity War,4400,death of recurring character,Action,149,2018,8.4,,624,http://www.imdb.com/title/tt4154756/
12,Star Wars: Episode IX - The Rise of Skywalker,7900,evil,Action,141,2019,6.5,2.39,518,http://www.imdb.com/title/tt2527338/
13,Black Panther,3400,marvel cinematic universe,Action,134,2018,7.3,2.39,505,http://www.imdb.com/title/tt1825683/
14,Incredibles 2,1100,,Animation,118,2018,7.6,2.39,405,http://www.imdb.com/title/tt3606756/
15,Black Widow,2900,superheroine,Action,134,2021,6.7,2.39,364,http://www.imdb.com/title/tt3480822/
16,Fantastic Beasts: The Crimes of Grindelwald,1500,wizard,Adventure,134,2018,6.5,2.39,350,http://www.imdb.com/title/tt4123430/
17,Onward,762,,Animation,102,2020,7.4,2.39,326,http://www.imdb.com/title/tt7146812/
18,Mulan,2900,,Action,115,2020,5.7,2.39,255,http://www.imdb.com/title/tt4566758/
19,The Suicide Squad,3200,,Action,132,2021,7.3,1.9,353,http://www.imdb.com/title/tt6334354/
20,Avengers: Endgame,9300,time travel,Action,181,2019,8.4,,583,http://www.imdb.com/title/tt4154796/
21,Avengers: Infinity War,4400,death of recurring character,Action,149,2018,8.4,,624,http://www.imdb.com/title/tt4154756/
22,Star Wars: Episode IX - The Rise of Skywalker,7900,evil,Action,141,2019,6.5,2.39,518,http://www.imdb.com/title/tt2527338/
